ticket,objectId,categoryId,templateId,commentNo,parentCommentNo,replyLevel,replyCount,replyAllCount,replyPreviewNo,replyList,imageCount,imageList,imagePathList,imageWidthList,imageHeightList,commentType,stickerId,sticker,sortValue,contents,userIdNo,exposedUserIp,lang,country,idType,idProvider,userName,userProfileImage,profileType,modTime,modTimeGmt,regTime,regTimeGmt,sympathyCount,antipathyCount,hideReplyButton,status,mine,best,mentions,toUser,userStatus,categoryImage,open,levelCode,grades,sympathy,antipathy,metaInfo,extension,audioInfoList,translation,report,middleBlindReport,spamInfo,userHomepageUrl,defamation,hiddenByCleanbot,score,ratings,managerLike,visible,manager,deleted,expose,exposeByCountry,virtual,secret,profileUserId,idNo,blindReport,blind,serviceId,userBlocked,containText,maskedUserId,maskedUserName,validateBanWords,anonymous
news,"news123,0002250409",*,default_politics,2621119114,2621119114,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626406884419,감쌀걸 감싸라 증인조작하는 검사를 처내지도 못하고 있는데 그걸 감싸고 피의자를 욕하냐 대한민국 법조계가 썩은건 이런 우매한 대중들때문이다,1sjti,NA,ko,KR,naver,naver,free****,NA,naver,2021-07-16T12:41:24+0900,2021-07-16T03:41:24+0000,2021-07-16T12:41:24+0900,2021-07-16T03:41:24+0000,1,1,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1sjti,FALSE,FALSE,NA,FALSE,TRUE,free****,fr****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2621116064,2621116064,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626406716386,일베 니들이좋아하는 천조국에서는 증거 증인의 적법함이 결과에 큰영향을 미친다. 사람들이 분노하는 포인트는 다른사람이 아니라 검사가 증인을 조작했다는점이야 정치검사가아니라면 저사건에 왜 검사가 증인을 만들어내나,1sjti,NA,ko,KR,naver,naver,free****,NA,naver,2021-07-16T12:38:36+0900,2021-07-16T03:38:36+0000,2021-07-16T12:38:36+0900,2021-07-16T03:38:36+0000,0,1,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1sjti,FALSE,FALSE,NA,FALSE,TRUE,free****,fr****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2621052634,2621052634,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626403535910,검찰정권 만들려고 엄청 노력하는데 그렇게는 안될것이다.,1Vyi7,NA,ko,KR,naver,naver,mtws****,NA,naver,2021-07-16T11:45:36+0900,2021-07-16T02:45:36+0000,2021-07-16T11:45:36+0900,2021-07-16T02:45:36+0000,0,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1Vyi7,FALSE,FALSE,NA,FALSE,TRUE,mtws****,mt****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2621015314,2621015314,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626401662776,과거가 밥 먹여주는건 아닌데 맨날 과거 청산만 ..청산도 제대로 못하면서 ...,3BQGr,NA,ko,KR,naver,naver,oneq****,https://phinf.pstatic.net/contact/20180926_37/1537913506818oW9zk_JPEG/image.jpg,naver,2021-07-16T11:14:23+0900,2021-07-16T02:14:23+0000,2021-07-16T11:14:23+0900,2021-07-16T02:14:23+0000,1,2,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,3BQGr,FALSE,FALSE,NA,FALSE,TRUE,oneq****,on****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2621006474,2621006474,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626401192813,따블당은 뇌물과 성폭행을 빼면 뭐가 남는 당이냐?? 아... 동성애자 대깨 유공자 짱깨가 남는구나... ㅋㅋㅋ,1qKk2,NA,ko,KR,naver,naver,debo****,NA,naver,2021-07-16T11:06:33+0900,2021-07-16T02:06:33+0000,2021-07-16T11:06:33+0900,2021-07-16T02:06:33+0000,0,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1qKk2,FALSE,FALSE,NA,FALSE,TRUE,debo****,de****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620999514,2620999514,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626400864524,윤로남불,1h7ZW,NA,ko,KR,naver,naver,ibo1****,NA,naver,2021-07-16T11:01:05+0900,2021-07-16T02:01:05+0000,2021-07-16T11:01:05+0900,2021-07-16T02:01:05+0000,3,5,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1h7ZW,FALSE,FALSE,NA,FALSE,TRUE,ibo1****,ib****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620990264,2620990264,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626400456672,노무현도 버리던 놈들이 핸명숙청은 왜 못 버리는지 아냐??그 남편이랑 핸명숙이 운동권에서 가지는 의미를 모르니 ㅉㅉㅉ,22lgv,NA,ko,KR,naver,naver,sisi****,NA,naver,2021-07-16T10:54:17+0900,2021-07-16T01:54:17+0000,2021-07-16T10:54:17+0900,2021-07-16T01:54:17+0000,1,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,22lgv,FALSE,FALSE,NA,FALSE,TRUE,sisi****,si****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620985474,2620985474,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626400225111,10원이아니라 1원짜리구만,1dPOA,NA,ko,KR,naver,naver,park****,NA,naver,2021-07-16T10:50:25+0900,2021-07-16T01:50:25+0000,2021-07-16T10:50:25+0900,2021-07-16T01:50:25+0000,0,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1dPOA,FALSE,FALSE,NA,FALSE,TRUE,park****,pa****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620976294,2620976294,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626399745680,"아니... 대법원에서 유죄 판결을 내린 결정적 내용은 그 수표라는 빼박 증거가 나와서 그랬던 거잖아..
사건 수사의 적법성이고 나발이고 떠나서. 
금품 수수한 빼박증거가 나왔기 때문에 그냥 만장일치로 
유죄 판결이 나온거여...  수사 적법성이 어쩌고 저쩌고 하면 받은 돈이 안 받은걸로 바뀌냐ㅋ
수표번호가 바뀌기라도 해? 도성쯤되나?ㅋ",AtaU,NA,ko,KR,naver,naver,kbj6****,NA,naver,2021-07-16T10:42:26+0900,2021-07-16T01:42:26+0000,2021-07-16T10:42:26+0900,2021-07-16T01:42:26+0000,1,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,AtaU,FALSE,FALSE,NA,FALSE,TRUE,kbj6****,kb****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620974744,2620974744,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626399661856,명숙이얼굴에철판깔았나봐녹금방쓴다,2tpKt,NA,ko,KR,naver,naver,hilt****,NA,naver,2021-07-16T10:41:02+0900,2021-07-16T01:41:02+0000,2021-07-16T10:41:02+0900,2021-07-16T01:41:02+0000,0,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2tpKt,FALSE,FALSE,NA,FALSE,TRUE,hilt****,hi****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620972544,2620972544,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626399548762,단건 모르겠고  백번 가까이  불렀다는게 이해불가  석열아 넌 이게 정당하다 생각하냐,2FcMP,NA,ko,KR,naver,naver,kkoo****,NA,naver,2021-07-16T10:39:09+0900,2021-07-16T01:39:09+0000,2021-07-16T10:39:09+0900,2021-07-16T01:39:09+0000,1,3,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2FcMP,FALSE,FALSE,NA,FALSE,TRUE,kkoo****,kk****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620965754,2620965754,1,0,3,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626399192762,"윤석열아, 좀 솔직해지자.
한명숙사건은 니들이 조작한거 맞잖아.
사기꾼 집안에 들어가더니, 너도 사기꾼화  되었나보다.",bJQP,NA,ko,KR,naver,naver,bwki****,NA,naver,2021-07-16T10:33:13+0900,2021-07-16T01:33:13+0000,2021-07-16T10:33:13+0900,2021-07-16T01:33:13+0000,4,10,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,bJQP,FALSE,FALSE,NA,FALSE,TRUE,bwki****,bw****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620960344,2620960344,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626398887527,"삼성전자가 사준 아파트에 사시는 쥴리 부부.
초특권 계층. 갑오브갑!",bWRpw,NA,ko,KR,naver,naver,sbka****,NA,naver,2021-07-16T10:28:08+0900,2021-07-16T01:28:08+0000,2021-07-16T10:28:08+0900,2021-07-16T01:28:08+0000,3,3,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,bWRpw,FALSE,FALSE,NA,FALSE,TRUE,sbka****,sb****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620955674,2620955674,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626398629035,가증스럽고 더러운 전 총장 🐦끼 누구라고는 말 안하겠다 저를 총장 시켜준 은혜도 모르고 미##친 망나니처럼 날뛴다 지안식구 장모 사건은 철저히 덥고 미###친듯이 날뛴다 그리고  말할때   고개좀 흔들지 마라 이 똘&amp&amp아이 🐦끼야,1BgRS,NA,ko,KR,naver,naver,tank****,https://phinf.pstatic.net/contact/profile/blog/38/64/tankman21c.jpg,naver,2021-07-16T10:23:49+0900,2021-07-16T01:23:49+0000,2021-07-16T10:23:49+0900,2021-07-16T01:23:49+0000,0,0,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1BgRS,FALSE,FALSE,NA,FALSE,TRUE,tank****,ta****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620954124,2620954124,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626398549122,"김학의 출국금지는 그리 절차 따지고 수사했으면서, 한명숙 검찰과 짜고한 모해위증은 또 유죄났으니 괜찮다? ㅋㅋ 그럼 김학의도 유죄났는데 괜찮은거 아님? 아놔 윤석열 칠푼이.",5HLI3,NA,ko,KR,naver,naver,2950****,NA,naver,2021-07-16T10:22:29+0900,2021-07-16T01:22:29+0000,2021-07-16T10:22:29+0900,2021-07-16T01:22:29+0000,5,3,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,5HLI3,FALSE,FALSE,NA,FALSE,TRUE,2950****,29****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620951414,2620951414,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626398407982,윤십원님 여기서도 윤로남불 시전중이시네요. 쥴리는 다 됐고. 신혼집 누가 해준건지 해명이나 좀 해보세요.,khxb,NA,ko,KR,naver,naver,nina****,https://phinf.pstatic.net/contact/20150420_249/1429458706819WXEhy_JPEG/pikicast-1206787435.jpg,naver,2021-07-16T10:20:08+0900,2021-07-16T01:20:08+0000,2021-07-16T10:20:08+0900,2021-07-16T01:20:08+0000,1,3,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,khxb,FALSE,FALSE,NA,FALSE,TRUE,nina****,ni****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620944374,2620944374,1,1,1,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626398036844,정치검찰 석렬이 ㅋㅋㅋ,1H9YD,NA,ko,KR,naver,naver,okdc****,https://phinf.pstatic.net/contact/20190608_9/1559956838132m9K87_JPEG/image.jpg,naver,2021-07-16T10:13:57+0900,2021-07-16T01:13:57+0000,2021-07-16T10:13:57+0900,2021-07-16T01:13:57+0000,3,6,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1H9YD,FALSE,FALSE,NA,FALSE,TRUE,okdc****,ok****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620941254,2620941254,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626397895928,"그럼 검찰이 특정 정권의 개가 되어 없는 죄도 만들어 뒤집어 쒸우는게 정상 입니까? 그잘난 검찰이 법원 판사 사찰도 했다며, 그러니 결과 적으론 특정정권, 검찰, 판사가 한통속이 되어 잡아 넣은 거잖아 아닙니까?",bavs3,NA,ko,KR,naver,naver,yjs_****,NA,naver,2021-07-16T10:11:36+0900,2021-07-16T01:11:36+0000,2021-07-16T10:11:36+0900,2021-07-16T01:11:36+0000,3,8,FALSE,0,FALSE,FALSE,NA,NA,0,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,bavs3,FALSE,FALSE,NA,FALSE,TRUE,yjs_****,yj****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620939964,2620939964,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626397840662,대깨마피아들은 대법원판결마저 방송에서 왜곡이용하려하네. 법대로해라 헌법대로하라고 옆에서 비겁하게말고.,n9Nh,NA,ko,KR,naver,naver,fish****,NA,naver,2021-07-16T10:10:41+0900,2021-07-16T01:10:41+0000,2021-07-16T10:10:41+0900,2021-07-16T01:10:41+0000,5,1,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,n9Nh,FALSE,FALSE,NA,FALSE,TRUE,fish****,fi****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620938944,2620938944,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626397789524,"차기 대통령 윤석열 화이팅입니다ᆢ
그 어떤 노무리도 법과 정의에 어긋나는 개들은 모조리 처단해야 됩니다ᆢ",4n3NC,NA,ko,KR,naver,naver,khd6****,NA,naver,2021-07-16T10:09:50+0900,2021-07-16T01:09:50+0000,2021-07-16T10:09:50+0900,2021-07-16T01:09:50+0000,3,1,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,4n3NC,FALSE,FALSE,NA,FALSE,TRUE,khd6****,kh****,FALSE,FALSE
news,"news123,0002250409",*,default_politics,2620937724,2620937724,1,0,0,NA,NA,0,NA,NA,NA,NA,txt,NA,NA,1626397729374,명숙이 수표는 빼박인데 ... 박범계  문재인은 미쳤구나 ...,2lfsH,NA,ko,KR,naver,naver,yc03****,NA,naver,2021-07-16T10:08:49+0900,2021-07-16T01:08:49+0000,2021-07-16T10:08:49+0900,2021-07-16T01:08:49+0000,6,1,FALSE,0,FALSE,FALSE,NA,NA,0,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2lfsH,FALSE,FALSE,NA,FALSE,TRUE,yc03****,yc****,FALSE,FALSE
